metric,base_metric,aggregation,model,n_train,n_repeats,mean,sd,mcse,pointwise_lower,simultaneous_lower,target,qualified,confidence,max_t_critical,bootstrap_draws
coverage,coverage,play,ridge_sgd_l2,20,100,0.9376426948762356,0.006107942094812482,0.0006107942094812482,0.936854671738145,0.9361283529892633,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,ridge_sgd_l2,40,100,0.938130413117122,0.0055771145193383555,0.0005577114519338355,0.9374108753060558,0.9367476792938514,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,ridge_sgd_l2,80,100,0.9378357416505324,0.004549995215463286,0.0004549995215463286,0.9372487188116891,0.9367076614832119,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,ridge_sgd_l2,160,100,0.9376659637802364,0.0045861115300537,0.00045861115300537003,0.9370742813537418,0.9365289292962019,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,ridge_sgd_l2,240,100,0.9373885443229254,0.00436304315455893,0.00043630431545589306,0.936825641318131,0.9363068151740476,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,ridge_sgd_l2,360,100,0.9372208496689641,0.004299321750011618,0.0004299321750011618,0.9366661677540876,0.9361549189658648,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,20,100,0.9156991421115098,0.005497499386399708,0.0005497499386399707,0.9149898759379157,0.9143361472655861,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,40,100,0.9150231681879203,0.004921507741395942,0.0004921507741395942,0.9143882142354579,0.9138029789320031,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,80,100,0.9137287177987904,0.005661683106657412,0.0005661683106657412,0.9129982692746677,0.9123250168883877,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,160,100,0.913534464319197,0.005119476209398552,0.0005119476209398552,0.9128739692383192,0.9122651927473799,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,240,100,0.9135954897578373,0.005079784199139906,0.0005079784199139906,0.9129401155870787,0.912336059024846,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,lightgbm_multiclass,360,100,0.9151626848054147,0.005109420650274712,0.0005109420650274712,0.9145034870540029,0.9138959063080475,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,20,100,0.9279241075774712,0.021018436462192546,0.0021018436462192547,0.925212389947934,0.922713007301914,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,40,100,0.9218645671203372,0.012189605714192878,0.0012189605714192878,0.9202919111917317,0.9188423985679605,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,80,100,0.9200183869849419,0.007411703121050272,0.0007411703121050271,0.9190621576262833,0.9181808036686981,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,160,100,0.9180274951225358,0.007288605085703002,0.0007288605085703003,0.9170871473977568,0.9162204314982336,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,240,100,0.9188435568660387,0.006629503947293861,0.000662950394729386,0.9179882438287773,0.917199904165768,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,zoo_cnn,360,100,0.9186768349078106,0.007576916129763498,0.0007576916129763498,0.9176992904037956,0.9167982903356343,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,20,100,0.9256082299995704,0.01113105190140696,0.001113105190140696,0.9241721446023223,0.9228485086599264,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,40,100,0.9204035116626443,0.007665424686863238,0.0007665424686863237,0.9194145481258633,0.918503023166755,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,80,100,0.9208127249915826,0.007202240315323474,0.0007202240315323475,0.919883519716473,0.9190270737820209,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,160,100,0.9235331270832543,0.0073203386178452194,0.000732033861784522,0.9225886852205163,0.9217181957653495,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,240,100,0.9236845062728284,0.006627434840014271,0.0006627434840014271,0.9228294601838102,0.9220413665662589,0.9,True,0.9,2.479299678132985,10000
coverage,coverage,play,set_transformer,360,100,0.9259968032869709,0.0076919207855376676,0.0007691920785537667,0.9250044213257025,0.9240897456141901,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,20,100,0.9372981188886241,0.006168860328579348,0.0006168860328579348,0.9365022363149013,0.9357686735459148,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,40,100,0.9378179794227769,0.005636352713572898,0.0005636352713572898,0.937090798928301,0.9364205586759163,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,80,100,0.9375183831781286,0.004626047678788514,0.00046260476787885146,0.93692154834371,0.9363714473260238,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,160,100,0.93735843417267,0.004679280482470829,0.0004679280482470829,0.9367547314471751,0.9361983003132616,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,240,100,0.9370735045507154,0.00443372777725631,0.000443372777725631,0.9365014820884461,0.9359742505656072,0.9,True,0.9,2.479299678132985,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,360,100,0.9369227943248777,0.004373165857451632,0.00043731658574516324,0.9363585853279871,0.9358385554545975,0.9,True,0.9,2.479299678132985,10000
