metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,6.740471007068703e-05,0.00011174991410213883,1.1174991410213883e-05,4.884985316460206e-05,8.595956697677199e-05,2.726601746706682e-05,0.00010754340267430724,0.9,3.591832076661254,10000
crps,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.0020045739430177233,0.0011826287636702848,0.00011826287636702848,-0.002200936577022668,-0.0018082113090127786,-0.0024293543358310404,-0.0015797935502044063,0.9,3.591832076661254,10000
crps,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.0003859579044650191,0.00020167137111548405,2.0167137111548405e-05,0.0003524725683628221,0.0004194432405672161,0.0003135209344933339,0.00045839487443670424,0.9,3.591832076661254,10000
crps,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.00207197865308841,0.0011695437942452053,0.00011695437942452054,-0.0022661686703423396,-0.0018777886358344808,-0.002492059144611414,-0.0016518981615654062,0.9,3.591832076661254,10000
crps,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.00031855319439433197,0.0001985980436568457,1.9859804365684567e-05,0.0002855781508653217,0.00035152823792334225,0.0002472201120374489,0.00038988627675121503,0.9,3.591832076661254,10000
crps,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0023905318474827424,0.001186876835051407,0.00011868768350514071,0.002193463867462663,0.002587599827502822,0.001964225618764359,0.0028168380762011256,0.9,3.591832076661254,10000
coverage,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.021943552764725625,0.005746358262848409,0.0005746358262848409,0.02098943252083176,0.02289767300861949,0.019879557371476987,0.024007548157974262,0.9,3.591832076661254,10000
coverage,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.009718587298764262,0.021605901963123134,0.002160590196312313,0.006131162445030284,0.01330601215249824,0.0019581101271298603,0.017479064470398663,0.9,3.591832076661254,10000
coverage,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.012034464876664805,0.010119187356273339,0.001011918735627334,0.010354283957421285,0.013714645795908325,0.008399822703064047,0.01566910705026556,0.9,3.591832076661254,10000
coverage,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.012224965465961359,0.020918063894593938,0.002091806389459394,-0.01569818229511957,-0.008751748636803149,-0.019738382753786574,-0.004711548178136144,0.9,3.591832076661254,10000
coverage,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.009909087888060816,0.010760412293416417,0.0010760412293416416,-0.011695737228769328,-0.008122438547352305,-0.013774047291420134,-0.006044128484701499,0.9,3.591832076661254,10000
coverage,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0023158775779005434,0.021458702086066327,0.0021458702086066326,-0.0012471063384302435,0.00587886149423133,-0.005391727869724536,0.010023483025525623,0.9,3.591832076661254,10000
mean_width,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,5.652251216891423,0.7168149684814147,0.07168149684814147,5.533231893474709,5.771270540308136,5.394783317209176,5.90971911657367,0.9,3.591832076661254,10000
mean_width,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,1.0689805729811734,8.305927040254305,0.8305927040254305,-0.31012820703488897,2.448089352997236,-1.9143689439781748,4.052330089940522,0.9,3.591832076661254,10000
