model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
lightgbm_multiclass,LightGBM,20,coverage,coverage,play,100,0.91569914211151,0.005497499386399708,0.0005497499386399707,0.915591384831397,0.007756293938964487,0.9069785021674204,0.9242817544610455,0.9084493265734487,0.9228841528434806
ridge_sgd_l2,L2 one-vs-rest logistic,20,coverage,coverage,play,100,0.9376426948762356,0.006107942094812481,0.0006107942094812481,0.9381311931744208,0.009032513844107859,0.9277481602730117,0.9471733766182459,0.9288289361774326,0.945936711884116
set_transformer,Set Transformer,20,coverage,coverage,play,100,0.9256082299995707,0.01113105190140696,0.001113105190140696,0.9241837889528028,0.013891432521841662,0.9097477782167293,0.9486735493420009,0.9144832289094937,0.9400018068340353
zoo_cnn,Zoo CNN,20,coverage,coverage,play,100,0.9279241075774712,0.02101843646219255,0.002101843646219255,0.9213255730111919,0.0191157968683362,0.9084031616770009,0.9797940042496,0.9111964336367622,0.9609022904090369
lightgbm_multiclass,LightGBM,40,coverage,coverage,play,100,0.9150231681879203,0.0049215077413959415,0.0004921507741395941,0.9149194192112025,0.0068059243827643945,0.9069363095767856,0.9224835966885376,0.9080698208639056,0.9213285138924889
ridge_sgd_l2,L2 one-vs-rest logistic,40,coverage,coverage,play,100,0.9381304131171216,0.005577114519338357,0.0005577114519338357,0.9387592141675626,0.007471069874872893,0.9282496989428157,0.9468700321996502,0.9299082276886856,0.9445123089355828
set_transformer,Set Transformer,40,coverage,coverage,play,100,0.9204035116626446,0.007665424686863236,0.0007665424686863236,0.919310837723943,0.011163499274775446,0.9092518971609628,0.9330173228257875,0.9119017026047604,0.930732460381963
zoo_cnn,Zoo CNN,40,coverage,coverage,play,100,0.9218645671203375,0.012189605714192878,0.0012189605714192878,0.9194127644143664,0.011445188800130568,0.9089909761207406,0.9406987795690523,0.9105639290793436,0.9344403784000914
lightgbm_multiclass,LightGBM,80,coverage,coverage,play,100,0.9137287177987901,0.005661683106657412,0.0005661683106657412,0.9132077946887752,0.006426862188194771,0.9045084107196719,0.9230786526259642,0.9063188125051763,0.9212352771237649
ridge_sgd_l2,L2 one-vs-rest logistic,80,coverage,coverage,play,100,0.9378357416505324,0.0045499952154632855,0.00045499952154632857,0.9384590336397565,0.005107786708638429,0.929510999046767,0.9449783852379305,0.9317165861745319,0.9433669363339546
set_transformer,Set Transformer,80,coverage,coverage,play,100,0.9208127249915827,0.007202240315323476,0.0007202240315323476,0.9204897640503764,0.009732287322284594,0.9083756731701281,0.9318537018407778,0.9114878359119305,0.9302719580634567
zoo_cnn,Zoo CNN,80,coverage,coverage,play,100,0.920018386984942,0.007411703121050271,0.0007411703121050271,0.9210712885420889,0.011584681220026649,0.9080703030363003,0.9308792286321294,0.9107465954874784,0.9285724552879762
lightgbm_multiclass,LightGBM,160,coverage,coverage,play,100,0.9135344643191966,0.005119476209398551,0.0005119476209398551,0.9134916350432905,0.0073967306838170765,0.9062353187597407,0.921953607506787,0.9075544649598373,0.9197663608616249
ridge_sgd_l2,L2 one-vs-rest logistic,160,coverage,coverage,play,100,0.9376659637802364,0.0045861115300537,0.00045861115300537003,0.9377872713734111,0.006093260284586455,0.9293373035889909,0.9441684567993894,0.9313503148889829,0.9430625191101222
set_transformer,Set Transformer,160,coverage,coverage,play,100,0.9235331270832546,0.007320338617845221,0.0007320338617845221,0.9225430902861216,0.010318016023431742,0.9142699806924999,0.9346322763440497,0.9153824764069829,0.931176613844052
zoo_cnn,Zoo CNN,160,coverage,coverage,play,100,0.9180274951225361,0.007288605085703001,0.0007288605085703001,0.9178749064099383,0.009008531757653149,0.9066175950773824,0.9299389852171664,0.9092483573508447,0.9289482799484592
lightgbm_multiclass,LightGBM,240,coverage,coverage,play,100,0.9135954897578378,0.005079784199139906,0.0005079784199139906,0.9135974713270432,0.007398278071043318,0.9052403651772611,0.9206378834604774,0.9077665072382984,0.9188298244023557
ridge_sgd_l2,L2 one-vs-rest logistic,240,coverage,coverage,play,100,0.9373885443229252,0.0043630431545589295,0.00043630431545589295,0.937836587730057,0.00580572930886758,0.9297877317504845,0.9430550929839616,0.9307224856056179,0.9424636656824218
set_transformer,Set Transformer,240,coverage,coverage,play,100,0.9236845062728284,0.006627434840014271,0.0006627434840014271,0.923183728415099,0.008930868427984517,0.9147610381491991,0.936574993840916,0.9159580749341205,0.9333332015682831
zoo_cnn,Zoo CNN,240,coverage,coverage,play,100,0.9188435568660391,0.006629503947293861,0.000662950394729386,0.9196343009379436,0.008792285868936878,0.9076558486701746,0.9301817902990881,0.9100199880712044,0.9266394170775955
lightgbm_multiclass,LightGBM,360,coverage,coverage,play,100,0.915162684805415,0.005109420650274712,0.0005109420650274712,0.9156895349911398,0.006072108211655269,0.9066118943879788,0.9225523378592553,0.9089359534643267,0.921350055259188
ridge_sgd_l2,L2 one-vs-rest logistic,360,coverage,coverage,play,100,0.937220849668964,0.004299321750011617,0.00042993217500116173,0.9376504546984943,0.005932432267827692,0.9294850723963141,0.944025137611459,0.9313927977968612,0.9424194713873445
set_transformer,Set Transformer,360,coverage,coverage,play,100,0.9259968032869709,0.007691920785537667,0.0007691920785537667,0.924906974305278,0.010341747943249713,0.9148076225363515,0.9385245576294681,0.9174577981240788,0.9366526035098653
zoo_cnn,Zoo CNN,360,coverage,coverage,play,100,0.9186768349078102,0.007576916129763497,0.0007576916129763497,0.9179625622150149,0.00974456711859717,0.9086786302093404,0.9329808500466611,0.9107904452348828,0.9295414339933483
lightgbm_multiclass,LightGBM,20,coverage_game_equal,coverage,game_equal,100,0.9157627778172039,0.005577516721134792,0.0005577516721134792,0.9158237670908402,0.008045155095179113,0.9070583119955054,0.9242671039523622,0.9080620329189372,0.9227405427172451
ridge_sgd_l2,L2 one-vs-rest logistic,20,coverage_game_equal,coverage,game_equal,100,0.9372981188886241,0.006168860328579348,0.0006168860328579348,0.937514069966449,0.00913814327831941,0.9275105081122674,0.9466358967696452,0.9287680910221707,0.945457541200191
set_transformer,Set Transformer,20,coverage_game_equal,coverage,game_equal,100,0.9255888692853415,0.011219022229753793,0.0011219022229753792,0.9241783701996276,0.014299800028364618,0.9105397310185518,0.9485787576020859,0.9139526306057756,0.93997599052228
zoo_cnn,Zoo CNN,20,coverage_game_equal,coverage,game_equal,100,0.9281852668792899,0.020974785383721835,0.0020974785383721835,0.9213532709823565,0.01920935084531672,0.9088852159680173,0.9800435427022838,0.9115766430872014,0.9606101446171571
lightgbm_multiclass,LightGBM,40,coverage_game_equal,coverage,game_equal,100,0.9154372563579095,0.004934037472089909,0.000493403747208991,0.9154779845531877,0.007333871634718658,0.907173485573636,0.9228527560042388,0.908593879617539,0.9213494869955137
ridge_sgd_l2,L2 one-vs-rest logistic,40,coverage_game_equal,coverage,game_equal,100,0.937817979422777,0.005636352713572898,0.0005636352713572898,0.9383647634727912,0.007500415721158227,0.9279598847479482,0.9458234949677629,0.9294447847486202,0.944589756482482
set_transformer,Set Transformer,40,coverage_game_equal,coverage,game_equal,100,0.9204092660841404,0.007663836814110795,0.0007663836814110795,0.9194463778592412,0.01135719931073742,0.9091293144157021,0.9323919367276113,0.9118536927166888,0.9308077636367245
zoo_cnn,Zoo CNN,40,coverage_game_equal,coverage,game_equal,100,0.922066212913016,0.01218233665103156,0.0012182336651031561,0.9199542431887304,0.011797052346866566,0.9092973229135424,0.9415068012513577,0.9104109100438503,0.9342390691823009
lightgbm_multiclass,LightGBM,80,coverage_game_equal,coverage,game_equal,100,0.9141918400188959,0.005706162514148854,0.0005706162514148854,0.913412267385476,0.006539374560957101,0.9039427974136522,0.9229960854179524,0.9072897708343605,0.9216884295086968
ridge_sgd_l2,L2 one-vs-rest logistic,80,coverage_game_equal,coverage,game_equal,100,0.9375183831781286,0.0046260476787885136,0.00046260476787885136,0.9381040560057314,0.005594581794580056,0.9283262227127524,0.9451600526802331,0.9313386656953733,0.9432118753122892
set_transformer,Set Transformer,80,coverage_game_equal,coverage,game_equal,100,0.9208303590628923,0.007215257930174813,0.0007215257930174813,0.9206952916533181,0.009910297744683993,0.9087656429312545,0.9322034955244639,0.9111733472009695,0.9305832893351365
zoo_cnn,Zoo CNN,80,coverage_game_equal,coverage,game_equal,100,0.9201902856848644,0.00743423243274972,0.000743423243274972,0.9207429360124539,0.011915016860474026,0.9081296303920204,0.9314106204582819,0.9107282450874445,0.9285748697944992
lightgbm_multiclass,LightGBM,160,coverage_game_equal,coverage,game_equal,100,0.9140214437010521,0.005155876959667523,0.0005155876959667523,0.9141064309505792,0.007640237513047987,0.906735020692023,0.9220249984135959,0.9076594878639737,0.9203886398700846
