token_order,GameId,PlayId,Team,X,Y,S,A,Dis,Orientation,Dir,NflId,DisplayName,JerseyNumber,Season,YardLine,Quarter,GameClock,PossessionTeam,Down,Distance,FieldPosition,HomeScoreBeforePlay,VisitorScoreBeforePlay,NflIdRusher,OffenseFormation,OffensePersonnel,DefendersInTheBox,DefensePersonnel,PlayDirection,TimeHandoff,TimeSnap,Yards,Position,HomeTeamAbbr,VisitorTeamAbbr,Week,IsRusher,ToLeft,TeamOnOffense,IsOnOffense,team_abbr,role,S_model,Dir_rad,X_std,Y_std,Dir_std,Sx,Sy,player_minus_rusher_x,player_minus_rusher_y,player_minus_rusher_Sx,player_minus_rusher_Sy,token_group,line_of_scrimmage_x_raw,line_of_scrimmage_x_std
1,2019091600,20190916000078,away,31.809999999999999,23.649999999999999,4.8300000000000001,3.75,0.46999999999999997,72.030000000000001,14.09,2561021,Nick Chubb,24,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,RB,NYJ,CLE,2,True,False,away,True,CLE,rusher,4.8300000000000001,1.3248794351888955,31.809999999999999,23.649999999999999,1.3248794351888955,1.1758428926915745,4.6846871284757867,0,0,0,0,0,37,37
2,2019091600,20190916000078,away,37.670000000000002,9.0600000000000005,4.4900000000000002,2.7200000000000002,0.42999999999999999,92.129999999999995,115.12,2543496,Odell Beckham,13,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,WR,NYJ,CLE,2,False,False,away,True,CLE,offense,4.4900000000000002,5.8447585990786104,37.670000000000002,9.0600000000000005,5.8447585990786104,4.0653388096986411,-1.9060745951714568,-5.860000000000003,14.589999999999998,-2.8894959170070669,6.590761723647244,1,37,37
3,2019091600,20190916000078,away,32.880000000000003,19.34,7.3700000000000001,2.6299999999999999,0.75,158.16999999999999,179,2543488,Jarvis Landry,80,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,WR,NYJ,CLE,2,False,False,away,True,CLE,offense,7.3700000000000001,4.7298422729046328,32.880000000000003,19.34,4.7298422729046328,0.12862423544277668,-7.3688775133026034,-1.0700000000000038,4.3099999999999987,1.0472186572487978,12.05356464177839,1,37,37
4,2019091600,20190916000078,away,35.539999999999999,23.469999999999999,3.8100000000000001,0.60999999999999999,0.40000000000000002,112.56999999999999,14.699999999999999,2541716,Chris Hubbard,74,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,G,NYJ,CLE,2,False,False,away,True,CLE,offense,3.8100000000000001,1.3142329267517301,35.539999999999999,23.469999999999999,1.3142329267517301,0.96681776886810977,3.6852901380760903,-3.7300000000000004,0.17999999999999972,0.20902512382346472,0.99939699039969643,1,37,37
5,2019091600,20190916000078,away,31.109999999999999,23.82,0.70999999999999996,2.0800000000000001,0.070000000000000007,104.68000000000001,158.49000000000001,2560800,Baker Mayfield,6,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,QB,NYJ,CLE,2,False,False,away,True,CLE,offense,0.70999999999999996,5.0878093024886697,31.109999999999999,23.82,5.0878093024886697,0.2603311628452068,-0.66055104696886402,0.69999999999999929,-0.17000000000000171,0.91551172984636775,5.345238175444651,1,37,37
6,2019091600,20190916000078,away,35.490000000000002,26,4.8600000000000003,0.81999999999999995,0.48999999999999999,84.640000000000001,8.4600000000000009,2541312,Eric Kush,72,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,OG,NYJ,CLE,2,False,False,away,True,CLE,offense,4.8600000000000003,1.4231414720761761,35.490000000000002,26,1.4231414720761761,0.71499791153577863,4.8071174300717345,-3.6800000000000033,-2.3500000000000014,0.46084498115579586,-0.12243030159594781,1,37,37
7,2019091600,20190916000078,away,36.719999999999999,27.010000000000002,3.8100000000000001,0.46999999999999997,0.38,122.86,19.43,2540292,JC Tretter,64,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,T,NYJ,CLE,2,False,False,away,True,CLE,offense,3.8100000000000001,1.2316788531323983,36.719999999999999,27.010000000000002,1.2316788531323983,1.2674153844860789,3.5930152021899384,-4.9100000000000001,-3.360000000000003,-0.09157249179450444,1.0916719262858483,1,37,37
8,2019091600,20190916000078,away,35.32,28.059999999999999,1.6000000000000001,1.54,0.16,75.730000000000004,6.3399999999999999,2543458,Greg Robinson,78,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,OT,NYJ,CLE,2,False,False,away,True,CLE,offense,1.6000000000000001,1.4601424522184561,35.32,28.059999999999999,1.4601424522184561,0.17668511991272165,1.590214566780668,-3.5100000000000016,-4.4100000000000001,0.99915777277885287,3.0944725616951185,1,37,37
9,2019091600,20190916000078,away,33.960000000000001,28.489999999999998,4.1399999999999997,1.24,0.42999999999999999,52.159999999999997,342.37,2543737,Joel Bitonio,75,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,G,NYJ,CLE,2,False,False,away,True,CLE,offense,4.1399999999999997,1.8784978739214968,33.960000000000001,28.489999999999998,1.8784978739214968,-1.2538774064084299,3.9455533768659712,-2.1500000000000021,-4.8399999999999999,2.4297202991000044,0.73913375160981554,1,37,37
10,2019091600,20190916000078,away,35.350000000000001,29.629999999999999,1.49,1.4399999999999999,0.14000000000000001,68.359999999999999,354.63999999999999,2541187,Demetrius Harris,88,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,TE,NYJ,CLE,2,False,False,away,True,CLE,offense,1.49,1.664345974701793,35.350000000000001,29.629999999999999,1.664345974701793,-0.13918575303988887,1.4834848587534417,-3.5400000000000027,-5.9800000000000004,1.3150286457314633,3.2012022697223452,1,37,37
