n_train,model_left,model_right,task_id,metric,mean_difference,standard_error,lower_95,upper_95,baseline_confidence,critical_95,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_contrasts,lower_90,upper_90,critical_90,sensitivity_confidence,year,problem,significant_95,significant_90
20,linear_structure,boosted_structure,bdb2020_rushing_harmonized,primary_loss,5.9876533574673154e-05,3.3166212265964483e-05,-5.609135663254788e-05,0.00017584442378189419,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-4.6366859204304814e-05,0.00016611992635365112,3.203362262986119,0.9,2020,Rushing yards,False,False
20,linear_structure,relnet,bdb2020_rushing_harmonized,primary_loss,-0.00020340633484608502,5.175487431259976e-05,-0.0003843707311974679,-2.2441938494702142e-05,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.00036919594614465677,-3.76167235475133e-05,3.203362262986119,0.9,2020,Rushing yards,True,True
20,linear_structure,attn_relnet,bdb2020_rushing_harmonized,primary_loss,-0.00019304887636344858,5.254415079219763e-05,-0.00037677303097106974,-9.32472175582742e-06,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.00036136682615182665,-2.473092657507051e-05,3.203362262986119,0.9,2020,Rushing yards,True,True
20,linear_structure,set_transformer,bdb2020_rushing_harmonized,primary_loss,-0.0009673582306018099,6.955925005044438e-05,-0.0012105768233087208,-0.000724139637894899,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.0011901817072550187,-0.0007445347539486011,3.203362262986119,0.9,2020,Rushing yards,True,True
20,boosted_structure,relnet,bdb2020_rushing_harmonized,primary_loss,-0.0002632828684207582,4.558614494749376e-05,-0.000422677887961971,-0.00010388784887954542,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.00040931180486057504,-0.00011725393198094137,3.203362262986119,0.9,2020,Rushing yards,True,True
20,boosted_structure,attn_relnet,bdb2020_rushing_harmonized,primary_loss,-0.00025292540993812173,4.680189365215834e-05,-0.00041657137653266433,-8.927944334357913e-05,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.00040284882989973533,-0.00010300198997650813,3.203362262986119,0.9,2020,Rushing yards,True,True
20,boosted_structure,set_transformer,bdb2020_rushing_harmonized,primary_loss,-0.0010272347641764829,6.404763407542452e-05,-0.001251181621204629,-0.0008032879071483366,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.0012324025382072416,-0.0008220669901457241,3.203362262986119,0.9,2020,Rushing yards,True,True
20,relnet,attn_relnet,bdb2020_rushing_harmonized,primary_loss,1.0357458482636445e-05,9.06591206337148e-06,-2.1342112344518145e-05,4.205702930979104e-05,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-1.8683942100718374e-05,3.939885906599127e-05,3.203362262986119,0.9,2020,Rushing yards,False,False
20,relnet,set_transformer,bdb2020_rushing_harmonized,primary_loss,-0.000763951895755725,7.06526231396525e-05,-0.0010109935409519592,-0.0005169102505594909,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.0009902778425022677,-0.0005376259490091823,3.203362262986119,0.9,2020,Rushing yards,True,True
20,attn_relnet,set_transformer,bdb2020_rushing_harmonized,primary_loss,-0.0007743093542383616,7.075297676377207e-05,-0.0010217018926258492,-0.0005269168158508739,0.95,3.4965672075321215,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60,-0.0010009567699973626,-0.0005476619384793604,3.203362262986119,0.9,2020,Rushing yards,True,True
