task_id,metric,n_train,model,supported_against,comparators_supported,comparators_required,supported_best,conclusion,decision_rule,confidence_level,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_contrasts
bdb2021_completion,primary_loss,10,linear_structure,"[""boosted_structure"", ""relnet"", ""attn_relnet"", ""set_transformer""]",4,4,True,supported_best,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,10,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,10,relnet,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,10,attn_relnet,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,10,set_transformer,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,20,linear_structure,"[""boosted_structure"", ""relnet"", ""attn_relnet"", ""set_transformer""]",4,4,True,supported_best,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,20,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,20,relnet,[],0,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,20,attn_relnet,[],0,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
bdb2021_completion,primary_loss,20,set_transformer,[],0,4,False,no_supported_best_claim,simultaneous_95pct_mean_loss_ci_beats_every_comparator,0.95,10000,complete_repeat_5x6_vector,93e68f5ec81e1b3dff9621a6251b6fc02ec6ae5b4645f15a0d8a3a7574dd70fd,60
