metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps,ridge_sgd_l2,20,40,40 - 20,100,-3.662002590526018e-05,6.22827269889609e-05,6.2282726988960906e-06,-4.897827017302854e-05,-2.4261781637491823e-05,-5.895049022001124e-05,-1.4289561590509124e-05,0.95,3.5853382461414935,10000
crps,ridge_sgd_l2,40,80,80 - 40,100,-1.0304281963042228e-05,4.4144023374660005e-05,4.414402337466e-06,-1.906341391182182e-05,-1.5451500142626372e-06,-2.6131407497415485e-05,5.5228435713310294e-06,0.95,3.5853382461414935,10000
crps,ridge_sgd_l2,80,160,160 - 80,100,-8.670016498849975e-06,2.810576744108539e-05,2.810576744108539e-06,-1.4246810518026219e-05,-3.093222479673731e-06,-1.8746884793218154e-05,1.4068517955182035e-06,0.95,3.5853382461414935,10000
crps,ridge_sgd_l2,160,240,240 - 160,100,-2.924547460259209e-06,1.8731458491617157e-05,1.8731458491617156e-06,-6.641275206814011e-06,7.921802862955934e-07,-9.640408913859893e-06,3.791313993341475e-06,0.95,3.5853382461414935,10000
crps,ridge_sgd_l2,240,360,360 - 240,100,-1.8243854759880836e-06,1.574839296504853e-05,1.5748392965048532e-06,-4.949208304015022e-06,1.3004373520388545e-06,-7.470717037273498e-06,3.82194608529733e-06,0.95,3.5853382461414935,10000
coverage,ridge_sgd_l2,20,40,40 - 20,100,0.00048771824088604255,0.0038255032417245437,0.00038255032417245434,-0.0002713445971420831,0.0012467810789141681,-0.0008838540674432848,0.0018592905492153698,0.95,3.5853382461414935,10000
coverage,ridge_sgd_l2,40,80,80 - 40,100,-0.00029467146658934684,0.0031817990631954583,0.0003181799063195458,-0.0009260094303380343,0.0003366664971593406,-0.001435454053870532,0.0008461111206918383,0.95,3.5853382461414935,10000
coverage,ridge_sgd_l2,80,160,160 - 80,100,-0.0001697778702957742,0.0021931631011715587,0.00021931631011715586,-0.0006049490105725701,0.00026539326998102164,-0.0009561010249614417,0.0006165452843698932,0.95,3.5853382461414935,10000
coverage,ridge_sgd_l2,160,240,240 - 160,100,-0.00027741945731147075,0.0017251176808477564,0.00017251176808477563,-0.0006197202318800172,6.488131725707562e-05,-0.0008959324973353082,0.0003410935827123668,0.95,3.5853382461414935,10000
coverage,ridge_sgd_l2,240,360,360 - 240,100,-0.00016769465396121675,0.0015264673176111309,0.0001526467317611131,-0.00047057888671401616,0.00013518957879158266,-0.000714984819492837,0.00037959551157040343,0.95,3.5853382461414935,10000
