metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width,mean_width,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.710085613400068,16.057834396508646,5.652251216891425,5.370680195087734,5.933822238695117,coverage,0.9,0.9359497521692477,0.9141753962494165,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.710085613400068,20.641105040418903,1.0689805729811732,-2.1936582760734398,4.331619422035787,coverage,0.9,0.9359497521692477,0.9220984124139263,True,True,True,,,False,inconclusive_at_controlled_coverage
mean_width,mean_width,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.710085613400068,17.07535082547462,4.634734787925452,4.043788819262653,5.22568075658825,coverage,0.9,0.9359497521692477,0.9225230283317949,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,20,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,16.057834396508646,20.641105040418903,-4.583270643910248,-7.772508242732739,-1.3940330450877583,coverage,0.9,0.9141753962494165,0.9220984124139263,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,20,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,16.057834396508646,17.07535082547462,-1.017516428965972,-1.5510898622801434,-0.48394299565180054,coverage,0.9,0.9141753962494165,0.9225230283317949,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,20,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,20.641105040418903,17.07535082547462,3.565754214944278,0.4195860327724197,6.711922397116137,coverage,0.9,0.9220984124139263,0.9225230283317949,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.710085613400068,17.057834396508646,5.652251216891425,5.370680195087733,5.933822238695118,coverage,0.9,0.9359497521692477,0.9141753962494165,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.710085613400068,21.641105040418903,1.0689805729811734,-2.1936582760734398,4.331619422035787,coverage,0.9,0.9359497521692477,0.9220984124139263,True,True,True,,,False,inconclusive_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.710085613400068,18.07535082547462,4.634734787925453,4.043788819262654,5.225680756588251,coverage,0.9,0.9359497521692477,0.9225230283317949,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,20,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,17.057834396508646,21.641105040418903,-4.583270643910248,-7.772508242732739,-1.3940330450877583,coverage,0.9,0.9141753962494165,0.9220984124139263,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
