metric,base_metric,aggregation,model,n_train,n_repeats,mean,sd,mcse,pointwise_lower,simultaneous_lower,target,qualified,confidence,max_t_critical,bootstrap_draws
coverage,coverage,play,ridge_sgd_l2,20,100,0.9376426948762357,0.006107942094812494,0.0006107942094812494,0.9366285375726793,0.9359497521692477,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,ridge_sgd_l2,40,100,0.938130413117122,0.005577114519338356,0.0005577114519338356,0.9372043939547331,0.9365846002713241,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,ridge_sgd_l2,80,100,0.9378357416505324,0.004549995215463275,0.0004549995215463275,0.9370802644689743,0.9365746162015222,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,ridge_sgd_l2,160,100,0.9376659637802364,0.0045861115300537,0.00045861115300537003,0.936904489877745,0.9363948279463141,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,ridge_sgd_l2,240,100,0.9373885443229252,0.0043630431545589226,0.00043630431545589225,0.9366641084962192,0.936179236511206,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,ridge_sgd_l2,360,100,0.9372208496689641,0.004299321750011625,0.0004299321750011625,0.9365069940879139,0.9360292035648108,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,20,100,0.9156991421115098,0.005497499386399714,0.0005497499386399714,0.9147863421753825,0.9141753962494165,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,40,100,0.9150231681879203,0.004921507741395946,0.0004921507741395946,0.9142060053951221,0.9136590703446782,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,80,100,0.9137287177987904,0.005661683106657416,0.0005661683106657416,0.9127886569429555,0.9121594650167718,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,160,100,0.913534464319197,0.005119476209398557,0.0005119476209398557,0.9126844310170551,0.9121154954131786,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,240,100,0.9135954897578373,0.00507978419913991,0.000507978419913991,0.9127520468819751,0.9121875223148731,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,lightgbm_multiclass,360,100,0.9151626848054147,0.005109420650274707,0.0005109420650274707,0.9143143211194166,0.9137465030059567,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,20,100,0.927924107577471,0.021018436462192543,0.0021018436462192543,0.9244342249760014,0.9220984124139263,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,40,100,0.9218645671203373,0.012189605714192892,0.001218960571419289,0.9198406157680443,0.9184859653303122,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,80,100,0.9200183869849419,0.007411703121050265,0.0007411703121050265,0.9187877543536356,0.9179640798958489,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,160,100,0.9180274951225358,0.00728860508570301,0.000728860508570301,0.9168173015801506,0.9160073072045075,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,240,100,0.9188435568660387,0.006629503947293869,0.0006629503947293869,0.9177427998937657,0.917006052484972,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,zoo_cnn,360,100,0.9186768349078106,0.007576916129763502,0.0007576916129763502,0.917418770454652,0.9165767356101704,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,20,100,0.9256082299995705,0.01113105190140695,0.001113105190140695,0.9237600399861672,0.9225230283317949,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,40,100,0.9204035116626443,0.00766542468686324,0.000766542468686324,0.9191307513269419,0.9182788803845232,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,80,100,0.9208127249915826,0.0072022403153234795,0.0007202240315323479,0.9196168713792903,0.9188164748591268,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,160,100,0.9235331270832543,0.00732033861784522,0.000732033861784522,0.9223176645332574,0.9215041435592799,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,240,100,0.9236845062728284,0.006627434840014276,0.0006627434840014276,0.9225840928532982,0.9218475753877158,0.9,True,0.95,2.7717071981181016,10000
coverage,coverage,play,set_transformer,360,100,0.9259968032869709,0.007691920785537672,0.0007691920785537671,0.9247196435624777,0.9238648280661079,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,20,100,0.9372981188886241,0.00616886032857935,0.000616886032857935,0.9362738467754091,0.9355882914309332,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,40,100,0.9378179794227769,0.005636352713572903,0.0005636352713572903,0.9368821244030077,0.9362557474840426,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,80,100,0.9375183831781285,0.004626047678788514,0.00046260476787885146,0.9367502783128208,0.936236178213115,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,160,100,0.9373584341726701,0.004679280482470832,0.00046792804824708314,0.936581490579718,0.9360614746331423,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,240,100,0.9370735045507156,0.004433727777256316,0.0004433727777256316,0.9363373323117704,0.9358446050312438,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,360,100,0.9369227943248777,0.004373165857451638,0.00043731658574516384,0.9361966777335359,0.9357106807963114,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,20,100,0.915762777817204,0.0055775167211347875,0.0005577516721134788,0.9148366918735846,0.9142168534928448,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,40,100,0.91543725635791,0.0049340374720899015,0.0004934037472089901,0.9146180131397087,0.9140696856401923,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,80,100,0.9141918400188961,0.005706162514148842,0.0005706162514148843,0.913244393841579,0.9126102588474863,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,160,100,0.9140214437010522,0.0051558769596675245,0.0005155876959667524,0.9131653664505285,0.91259238557288,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,240,100,0.9140979732726702,0.005057594269219355,0.0005057594269219355,0.9132582147931472,0.9126961562285546,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,lightgbm_multiclass,360,100,0.9155894166487792,0.005120639564126168,0.0005120639564126168,0.9147391901842472,0.9141701252948936,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,20,100,0.9281852668792898,0.02097478538372183,0.002097478538372183,0.9247026320642844,0.9223716705165854,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,40,100,0.922066212913016,0.012182336651031554,0.0012182336651031553,0.9200434685095417,0.9186896258944598,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,80,100,0.9201902856848646,0.007434232432749716,0.0007434232432749716,0.9189559123065687,0.918129734130231,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,160,100,0.9183052592526111,0.007176313830908052,0.0007176313830908052,0.9171137104508617,0.9163161951825028,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,240,100,0.9190094406644299,0.006646346381945153,0.0006646346381945152,0.9179058871892029,0.9171672680536276,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,zoo_cnn,360,100,0.9188483553360688,0.007496875498871777,0.0007496875498871778,0.9176035807584755,0.916770440957707,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,20,100,0.9255888692853412,0.01121902222975379,0.001121902222975379,0.9237260727564203,0.9224792848183356,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,40,100,0.9204092660841395,0.007663836814110809,0.0007663836814110809,0.9191367693974246,0.9182850749178522,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,80,100,0.920830359062893,0.007215257930174804,0.0007215257930174803,0.9196323440173435,0.9188305008287586,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,160,100,0.9236776797571133,0.007336417323723511,0.0007336417323723511,0.9224595475130124,0.9216442396866571,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,240,100,0.9237653968525212,0.0066181432390021435,0.0006618143239002143,0.9226665262022056,0.9219310413271493,0.9,True,0.95,2.7717071981181016,10000
coverage_game_equal,coverage,game_equal,set_transformer,360,100,0.9261340357976319,0.007694831462133673,0.0007694831462133673,0.924856392786971,0.9240012538224417,0.9,True,0.95,2.7717071981181016,10000
