metric,base_metric,aggregation,n_train,model_a,model_b,contrast,n_repeats,log_sd_ratio,log_bootstrap_lower,log_bootstrap_upper,sd_ratio,ratio_bootstrap_lower,ratio_bootstrap_upper,bca_bias_correction,bca_acceleration,regularized,confidence,bootstrap_draws,interval_method
crps,crps,play,20,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.10202414219091338,-0.18172637891220947,-0.026745246494393415,0.9030077508202012,0.8338294625293706,0.9736092403007743,0.0025066308995717666,-0.019382467855358642,False,0.95,10000,bca_repeat_block
crps,crps,play,20,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-1.5283258122495775,-1.8617419849688877,-1.2124539126550522,0.21689849231159167,0.15540168704394305,0.2974664264436355,-0.0393642276393018,-0.07818401323456818,False,0.95,10000,bca_repeat_block
crps,crps,play,20,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.24674651154892402,-0.4276964260712895,-0.12613205820865628,0.7813387287746152,0.6520093177882749,0.8814984299930906,-0.040869415452702035,-0.0651577424621407,False,0.95,10000,bca_repeat_block
crps,crps,play,20,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-1.4263016700586642,-1.773442811703194,-1.1080750566102497,0.24019560420670028,0.16974757273496732,0.33019395438585597,-0.04488371162510891,-0.07652900934192729,False,0.95,10000,bca_repeat_block
crps,crps,play,20,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,-0.14472236935801064,-0.32130697775265116,-0.0124427758357193,0.8652624831458268,0.7252005963675877,0.9876343154251713,-0.02707489287656524,-0.048008697111816594,False,0.95,10000,bca_repeat_block
crps,crps,play,20,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,1.2815793007006535,0.9564577496916581,1.6417428617202101,3.602324388922727,2.6024615566345464,5.164162093975693,0.04839681198128462,0.06688677363870374,False,0.95,10000,bca_repeat_block
crps,crps,play,40,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.13110386209597635,-0.19917717694715334,-0.060787963623633354,0.8771266694456248,0.8194047008475456,0.9410227496775042,0.0233137547405855,-0.0003670564056219281,False,0.95,10000,bca_repeat_block
crps,crps,play,40,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-1.1016002400069995,-1.4650740923829966,-0.7825838383495921,0.3323388360483442,0.23106087099254016,0.45722309316627396,-0.050153583464733656,-0.07662776255714836,False,0.95,10000,bca_repeat_block
crps,crps,play,40,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.14613525542701566,-0.2595521550851948,-0.043399456948260653,0.864040829069597,0.7713969746698718,0.9575288221212495,-0.006517279650583851,-0.005230317877561599,False,0.95,10000,bca_repeat_block
crps,crps,play,40,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-0.9704963779110232,-1.3421083859897525,-0.6537023077824873,0.37889491635044475,0.2612941784225694,0.5201165760699078,-0.06672579327973209,-0.07933371369363959,False,0.95,10000,bca_repeat_block
crps,crps,play,40,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,-0.015031393331039311,-0.10704999525610116,0.07164358458812378,0.9850810141432611,0.8984807520920962,1.0742723885864052,-0.006517279650583851,-0.005830695735229383,False,0.95,10000,bca_repeat_block
crps,crps,play,40,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,0.9554649845799839,0.6443299678429607,1.3069012520101007,2.599879205642725,1.9047103844157258,3.6947069892870905,0.06119991177015732,0.0769749589671304,False,0.95,10000,bca_repeat_block
crps,crps,play,80,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.13613901679705265,-0.19131703139544148,-0.08290249207418193,0.8727213011353632,0.8258707196964068,0.9204408931269119,0.002757294595891845,-0.0190239061528133,False,0.95,10000,bca_repeat_block
crps,crps,play,80,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-0.8971628033083956,-1.28292774986132,-0.6231186047584913,0.40772481576165576,0.27722446725211114,0.5362694147364792,-0.08708996732542465,-0.10095377639988773,False,0.95,10000,bca_repeat_block
crps,crps,play,80,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.0714477884250595,-0.14761495341732564,0.003538084106023535,0.9310448876457714,0.8627632550362464,1.003544350513774,0.01504033667863567,-0.01063094710665703,False,0.95,10000,bca_repeat_block
crps,crps,play,80,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-0.761023786511343,-1.1521631718409668,-0.48563011152169744,0.4671878814361788,0.31595256992301474,0.6153093610694292,-0.08708996732542465,-0.09820891999227362,False,0.95,10000,bca_repeat_block
crps,crps,play,80,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,0.06469122837199315,-0.026018406614574788,0.1536363394253596,1.0668295668210828,0.9743171555633413,1.166066757156526,0.0050132775489266585,0.005409511291154242,False,0.95,10000,bca_repeat_block
crps,crps,play,80,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,0.8257150148833361,0.5457808973979839,1.1927104071687757,2.2835129274790904,1.7259556505454143,3.2960026207216724,0.0752698620998299,0.09697404852108547,False,0.95,10000,bca_repeat_block
crps,crps,play,160,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.11471040555583123,-0.1657197542630899,-0.0702556213569189,0.8916243159706203,0.8472836485511245,0.9321555105922937,-0.015792414544589822,-0.01697269542885351,False,0.95,10000,bca_repeat_block
crps,crps,play,160,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-0.7284631402962454,-0.9732507709690056,-0.5196322938698439,0.4826501860091312,0.3778527267818972,0.5947391970170206,-0.032591936696663076,-0.052241226504140585,False,0.95,10000,bca_repeat_block
crps,crps,play,160,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.07639565763217782,-0.17420889139940868,0.01721274613982477,0.9264495771882681,0.840121385195721,1.0173617390863052,-0.020054370352950632,-0.008727416545537827,False,0.95,10000,bca_repeat_block
crps,crps,play,160,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-0.6137527347404141,-0.870304942434797,-0.4091467637079025,0.5413156386204195,0.4188238126192986,0.6642167422564456,-0.03735744868497225,-0.05763036189357837,False,0.95,10000,bca_repeat_block
crps,crps,play,160,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,0.038314747923653414,-0.06113072906845145,0.14498718055270432,1.0390582228342855,0.9407002548693226,1.156024750574669,0.00701861679253328,0.006059167623851339,False,0.95,10000,bca_repeat_block
crps,crps,play,160,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,0.6520674826640676,0.44269119340614344,0.9032455578089922,1.919505273267917,1.5568914817448922,2.467598863561013,0.03284273371844667,0.04951805440953,False,0.95,10000,bca_repeat_block
crps,crps,play,240,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.10977919410307813,-0.14989677553097486,-0.07157056200460377,0.896031962596179,0.8607968271346147,0.9309305869488952,-0.010528033237178321,-0.009818214436877378,False,0.95,10000,bca_repeat_block
crps,crps,play,240,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-0.39675044072038457,-0.6385718785013641,-0.20495114827764271,0.6725018337659227,0.528045999660584,0.814687114308025,-0.061953327272426355,-0.04302901221220641,False,0.95,10000,bca_repeat_block
crps,crps,play,240,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.06891911028019138,-0.1598400420027059,0.026879422258869443,0.9334021796653724,0.8522801070823967,1.0272439325426677,0.017296597500018798,0.009434692331954177,False,0.95,10000,bca_repeat_block
crps,crps,play,240,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-0.28697124661730644,-0.5356495035293554,-0.09262333313459896,0.7505333088982716,0.5852890193807796,0.9115367813429102,-0.06572094093465736,-0.04279088418721411,False,0.95,10000,bca_repeat_block
crps,crps,play,240,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,0.04086008382288675,-0.04847510193394973,0.13930228528247313,1.0417063437792067,0.9526810589264774,1.149471515813469,0.029080986449119637,0.016347388290344038,False,0.95,10000,bca_repeat_block
crps,crps,play,240,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,0.3278313304401932,0.1451441285884489,0.5558326025233156,1.3879548468120033,1.1562062006272862,1.743391933181298,0.05642906916247393,0.04888367401020005,False,0.95,10000,bca_repeat_block
crps,crps,play,360,ridge_sgd_l2,lightgbm_multiclass,log SD(ridge_sgd_l2) / SD(lightgbm_multiclass),100,-0.08833718451131922,-0.12675592344269812,-0.0485291828225763,0.9154521483917533,0.8809486652761335,0.9526295384813812,0.004261280963260362,-0.00604024315203356,False,0.95,10000,bca_repeat_block
crps,crps,play,360,ridge_sgd_l2,zoo_cnn,log SD(ridge_sgd_l2) / SD(zoo_cnn),100,-0.5504519651125763,-0.8345378036568014,-0.365431389083924,0.5766891081130898,0.4340750629821749,0.6938972466052041,-0.06747947670031154,-0.08015570865929036,False,0.95,10000,bca_repeat_block
crps,crps,play,360,ridge_sgd_l2,set_transformer,log SD(ridge_sgd_l2) / SD(set_transformer),100,-0.022646108828766387,-0.12108970199385058,0.056900273362328266,0.9776083895411509,0.8859544841446871,1.0585502394752815,-0.031588768951337824,-0.0202134287924939,False,0.95,10000,bca_repeat_block
crps,crps,play,360,lightgbm_multiclass,zoo_cnn,log SD(lightgbm_multiclass) / SD(zoo_cnn),100,-0.4621147806012571,-0.746427822270642,-0.2865193398799353,0.6299500297489115,0.47405694741840343,0.7508725566055732,-0.08306481838496249,-0.0855089971641182,False,0.95,10000,bca_repeat_block
crps,crps,play,360,lightgbm_multiclass,set_transformer,log SD(lightgbm_multiclass) / SD(set_transformer),100,0.06569107568255284,-0.0258855566695404,0.14163008498326352,1.0678967669239647,0.974446602142199,1.152150371974683,-0.03033485385333439,-0.011739490027165888,False,0.95,10000,bca_repeat_block
crps,crps,play,360,zoo_cnn,set_transformer,log SD(zoo_cnn) / SD(set_transformer),100,0.5278058562838099,0.3498392978523335,0.8008452439573135,1.6952086935365527,1.4188395197133707,2.227422848742847,0.06396260838426915,0.08729667319208911,False,0.95,10000,bca_repeat_block
