metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,6.740471007069467e-05,0.00011174991410214034,1.1174991410214034e-05,4.523110268158407e-05,8.957831745980529e-05,2.350839249396383e-05,0.00011130102764742551,0.95,3.9280851291401664,10000
crps,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.0020045739430177164,0.0011826287636702863,0.00011826287636702863,-0.00223923314703935,-0.0017699147389960827,-0.0024691205890043835,-0.0015400272970310493,0.95,3.9280851291401664,10000
crps,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.000385957904465026,0.00020167137111548467,2.0167137111548466e-05,0.0003459419291448917,0.0004259738797851603,0.00030673967307982174,0.0004651761358502303,0.95,3.9280851291401664,10000
crps,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.00207197865308841,0.0011695437942452018,0.00011695437942452018,-0.002304041515295721,-0.0018399157908810988,-0.0025313854116936845,-0.0016125718944831357,0.95,3.9280851291401664,10000
crps,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.00031855319439433126,0.00019859804365684496,1.9859804365684496e-05,0.00027914703391829394,0.0003579593548703686,0.00024054219219785304,0.00039656419659080946,0.95,3.9280851291401664,10000
crps,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0023905318474827415,0.0011868768350514038,0.00011868768350514038,0.0021550297339365445,0.0026260339610289386,0.0019243165228941049,0.002856747172071378,0.95,3.9280851291401664,10000
coverage,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.02194355276472562,0.00574635826284843,0.000574635826284843,0.020803350617267038,0.023083754912184205,0.019686334320824957,0.024200771208626286,0.95,3.9280851291401664,10000
coverage,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.009718587298764285,0.021605901963123134,0.002160590196312313,0.00543150760597792,0.01400566699155065,0.0012316050784638554,0.018205569519064713,0.95,3.9280851291401664,10000
coverage,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.012034464876664824,0.010119187356273332,0.0010119187356273332,0.010026598567883837,0.014042331185445811,0.008059561939348776,0.016009367813980872,0.95,3.9280851291401664,10000
coverage,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.012224965465961347,0.02091806389459393,0.002091806389459393,-0.016375563163200848,-0.008074367768721846,-0.020441759037437172,-0.004008171894485522,0.95,3.9280851291401664,10000
coverage,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.009909087888060797,0.010760412293416418,0.0010760412293416418,-0.012044187135842726,-0.007773988640278869,-0.014135869439379403,-0.00568230633674219,0.95,3.9280851291401664,10000
coverage,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0023158775779005447,0.02145870208606632,0.002145870208606632,-0.001941994465754208,0.006573749621555297,-0.006113283277592075,0.010745038433393164,0.95,3.9280851291401664,10000
mean_width,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,5.652251216891425,0.7168149684814146,0.07168149684814146,5.510019575735827,5.794482858047024,5.370680195087734,5.933822238695117,0.95,3.9280851291401664,10000
mean_width,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,1.0689805729811732,8.305927040254305,0.8305927040254305,-0.5790955501455202,2.717056696107867,-2.1936582760734398,4.331619422035787,0.95,3.9280851291401664,10000
mean_width,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,4.634734787925452,1.5044123261965887,0.15044123261965886,4.336226743955664,4.93324283189524,4.043788819262653,5.22568075658825,0.95,3.9280851291401664,10000
mean_width,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-4.583270643910248,8.119064363354555,0.8119064363354556,-6.1942691579260645,-2.9722721298944323,-7.772508242732739,-1.3940330450877583,0.95,3.9280851291401664,10000
mean_width,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-1.017516428965972,1.3583550655659222,0.1358355065565922,-1.287043543692331,-0.7479893142396128,-1.5510898622801434,-0.48394299565180054,0.95,3.9280851291401664,10000
mean_width,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,3.565754214944278,8.009419548553764,0.8009419548553763,1.9765116109457381,5.154996818942818,0.4195860327724197,6.711922397116137,0.95,3.9280851291401664,10000
