metric,base_metric,aggregation,model,n_train,n_repeats,sd,bootstrap_lower,bootstrap_upper,bca_bias_correction,bca_acceleration,confidence,bootstrap_draws,interval_method
crps,crps,play,ridge_sgd_l2,20,100,0.00025648271869065255,0.00022982075739003127,0.00029214297977111446,0.12793552140422815,0.03298651760711942,0.95,10000,bca_repeat_block
crps,crps,play,ridge_sgd_l2,40,100,0.00025241415875467977,0.00022491632893518608,0.00029036994822047963,0.12641933224808075,0.03875734322206015,0.95,10000,bca_repeat_block
crps,crps,play,ridge_sgd_l2,80,100,0.0002526163626682157,0.00022670080015265397,0.0002882687235217401,0.13627991657922045,0.036030311716330386,0.95,10000,bca_repeat_block
crps,crps,play,ridge_sgd_l2,160,100,0.0002530036493449763,0.0002255281208920704,0.00029044131264196874,0.12869372606692214,0.039020001398557026,0.95,10000,bca_repeat_block
crps,crps,play,ridge_sgd_l2,240,100,0.000251243491007816,0.00022468406603277311,0.00028666929903215963,0.1334974257548597,0.03345614702997839,0.95,10000,bca_repeat_block
crps,crps,play,ridge_sgd_l2,360,100,0.0002521669084699842,0.0002257904278079414,0.00028726472591256494,0.12844098298049186,0.03367596967056877,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,20,100,0.0002840315805237437,0.0002514778705862624,0.00032706873561365573,0.11833780976534068,0.032818852974784506,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,40,100,0.00028777389577518424,0.00025680531606040477,0.0003278701400693969,0.12793552140422815,0.029909070414123065,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,80,100,0.0002894582294938548,0.00025697740146936646,0.0003333883476721137,0.12515606339348145,0.037661206744481084,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,160,100,0.0002837558877805581,0.00025220974713225654,0.00032663492922198903,0.12616666240147723,0.03902882819241138,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,240,100,0.0002803956795021673,0.00024978770524372265,0.0003222695820144774,0.137291991946666,0.03696598721377054,0.95,10000,bca_repeat_block
crps,crps,play,lightgbm_multiclass,360,100,0.0002754561327022777,0.0002459569371603409,0.00031674321528869825,0.14159489437202652,0.03605493132150822,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,20,100,0.001182501159677011,0.00089552069059738,0.0016279216386629076,0.09917414870033725,0.09775877721769358,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,40,100,0.0007595084635789053,0.000575084097840743,0.0010483697167142957,0.10370935811965017,0.09731805301886748,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,80,100,0.0006195756375444363,0.00048412035671887454,0.000892367326314134,0.14590042003299397,0.11514549809750314,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,160,100,0.0005241967302177518,0.00043747459765431225,0.000660407424206235,0.10144149260200486,0.08034744277740802,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,240,100,0.0003735952504410064,0.0003153985274068105,0.00046031247983807335,0.12035744532176691,0.06843487545233637,0.95,10000,bca_repeat_block
crps,crps,play,zoo_cnn,360,100,0.00043726663972390065,0.00037362591382197793,0.0005596924748582346,0.1451404271047799,0.10437320765768586,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,20,100,0.00032826059843839804,0.0002884404095415248,0.00039061537608610613,0.13071596811986333,0.06133325392255195,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,40,100,0.000292132212116041,0.0002594862545450488,0.00033423711274417785,0.12237757192738684,0.030902786035901523,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,80,100,0.00027132565359655014,0.00024087881340818595,0.0003067901275395755,0.09489276913113849,0.02722324779079016,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,160,100,0.0002730894973397588,0.00024065993698462997,0.0003143066518684323,0.11001182102288878,0.03960926222793468,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,240,100,0.0002691695996444828,0.0002406805855302125,0.0003034642287686522,0.10900313977014242,0.02278150761769638,0.95,10000,bca_repeat_block
crps,crps,play,set_transformer,360,100,0.00025794266003418897,0.0002306912465225013,0.0002908306443347971,0.11253401620461544,0.027083296181071095,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,20,100,0.006107942094812494,0.005464953700347281,0.007003610493041545,0.10622983495269706,0.041867927546138446,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,40,100,0.005577114519338356,0.004948172405725964,0.006363777806407583,0.09917414870033725,0.031728191301739934,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,80,100,0.004549995215463275,0.003957887808160039,0.0052779466745812055,0.08960639799290773,0.03336907259511202,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,160,100,0.0045861115300537,0.004063654454742309,0.005293632026810559,0.1127862748359439,0.036151585674156314,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,240,100,0.0043630431545589226,0.003883941266346176,0.005022653005943358,0.1190951160922949,0.03673683212024333,0.95,10000,bca_repeat_block
coverage,coverage,play,ridge_sgd_l2,360,100,0.004299321750011625,0.0038327064268886294,0.004921055230127971,0.12288268129946614,0.031128609561518562,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,20,100,0.005497499386399714,0.004924012606589959,0.006197329661267034,0.10698610888983635,0.02764846974839732,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,40,100,0.004921507741395946,0.004360452345584932,0.005653140207027015,0.11202952040800261,0.04030313378627002,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,80,100,0.005661683106657416,0.004953257972320932,0.006627786691787791,0.12793552140422815,0.03875318935312164,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,160,100,0.005119476209398557,0.004508730252701675,0.006008229772270563,0.11152505312308653,0.05159792911035334,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,240,100,0.00507978419913991,0.004415423552581431,0.006046249954369081,0.11127283013139141,0.05036020397682916,0.95,10000,bca_repeat_block
coverage,coverage,play,lightgbm_multiclass,360,100,0.005109420650274707,0.004441773865325494,0.006045887604656457,0.09917414870033725,0.05258864400108552,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,20,100,0.021018436462192543,0.017171766522137394,0.025352097916872172,0.06722824465557509,0.04841326226366687,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,40,100,0.012189605714192892,0.009350922489224664,0.01753933683190941,0.12237757192738684,0.10894231253715961,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,80,100,0.007411703121050265,0.006630521203483533,0.008398557575673973,0.10597775716289191,0.03763163975472228,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,160,100,0.00728860508570301,0.006408597473671811,0.008382199400029856,0.08784483789587182,0.036541026439994136,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,240,100,0.006629503947293869,0.005844513556818129,0.007570368724455466,0.08231025472694933,0.0312873270553399,0.95,10000,bca_repeat_block
coverage,coverage,play,zoo_cnn,360,100,0.007576916129763502,0.006589995615094925,0.008874240006499896,0.08532879488562917,0.047418778293846414,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,20,100,0.01113105190140695,0.009526396922017417,0.01309309091915843,0.0730076876230591,0.04689884064100165,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,40,100,0.00766542468686324,0.006745273767984733,0.008822767089463291,0.0818072383494721,0.047807963242389215,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,80,100,0.0072022403153234795,0.006444493039049415,0.008255833183564269,0.13324452361112396,0.03464043429906018,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,160,100,0.00732033861784522,0.006325702462363509,0.008826709595991956,0.11631865678545307,0.06367657605341878,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,240,100,0.006627434840014276,0.005858849384806281,0.007557083431893762,0.10547362176886818,0.028387369384038776,0.95,10000,bca_repeat_block
coverage,coverage,play,set_transformer,360,100,0.007691920785537672,0.006848243501838695,0.008923451203492644,0.12010496419685164,0.04472264889626937,0.95,10000,bca_repeat_block
mean_width,mean_width,play,ridge_sgd_l2,20,100,0.9337000562597817,0.8202831563910474,1.0690141867593252,0.08658674787384585,0.0308868056996981,0.95,10000,bca_repeat_block
