model,model_display_name,n_train,coverage_game_equal_iqr,coverage_game_equal_mcse,coverage_game_equal_mean,coverage_game_equal_median,coverage_game_equal_q10,coverage_game_equal_q90,coverage_game_equal_sd,coverage_iqr,coverage_mcse,coverage_mean,coverage_median,coverage_q10,coverage_q90,coverage_sd,crps_game_equal_iqr,crps_game_equal_mcse,crps_game_equal_mean,crps_game_equal_median,crps_game_equal_q10,crps_game_equal_q90,crps_game_equal_sd,crps_iqr,crps_mcse,crps_mean,crps_median,crps_q10,crps_q90,crps_sd,mean_q_iqr,mean_q_mcse,mean_q_mean,mean_q_median,mean_q_q10,mean_q_q90,mean_q_sd,mean_width_game_equal_iqr,mean_width_game_equal_mcse,mean_width_game_equal_mean,mean_width_game_equal_median,mean_width_game_equal_q10,mean_width_game_equal_q90,mean_width_game_equal_sd,mean_width_inclusive_game_equal_iqr,mean_width_inclusive_game_equal_mcse,mean_width_inclusive_game_equal_mean,mean_width_inclusive_game_equal_median,mean_width_inclusive_game_equal_q10,mean_width_inclusive_game_equal_q90,mean_width_inclusive_game_equal_sd,mean_width_inclusive_iqr,mean_width_inclusive_mcse,mean_width_inclusive_mean,mean_width_inclusive_median,mean_width_inclusive_q10,mean_width_inclusive_q90,mean_width_inclusive_sd,mean_width_iqr,mean_width_mcse,mean_width_mean,mean_width_median,mean_width_q10,mean_width_q90,mean_width_sd
ridge_sgd_l2,L2 one-vs-rest logistic,20,0.0091381432783193,0.0006168860328579351,0.9372981188886242,0.9375140699664489,0.9287680910221707,0.945457541200191,0.006168860328579351,0.009032513844107748,0.0006107942094812493,0.9376426948762356,0.9381311931744208,0.9288289361774325,0.945936711884116,0.006107942094812493,0.0003585494024243435,2.546166966265676e-05,0.01424505116193487,0.01423537527378,0.013921924335491408,0.01460608517913316,0.0002546166966265676,0.0003554402358052003,2.5648271869065254e-05,0.014285241836098988,0.014273337325044091,0.013956867262911227,0.014648513437097678,0.00025648271869065255,0.22239779711097646,0.01693071489748947,0.3685591472669467,0.3448415807038453,0.1705896566412637,0.5843048001900911,0.1693071489748947,1.2380547756426097,0.09313592128680384,21.656402714920443,21.543095967010096,20.442499357682713,22.906777918757296,0.9313592128680385,1.2380547756426097,0.09313592128680385,22.656402714920443,22.543095967010093,21.442499357682713,23.906777918757296,0.9313592128680386,1.230555728454874,0.09337000562597816,22.710085613400068,22.61412764058474,21.47441137218311,23.953975342957754,0.9337000562597817,1.230555728454874,0.09337000562597816,21.710085613400068,21.61412764058474,20.47441137218311,22.953975342957754,0.9337000562597817
ridge_sgd_l2,L2 one-vs-rest logistic,40,0.007500415721158227,0.0005636352713572903,0.937817979422777,0.9383647634727912,0.9294447847486202,0.944589756482482,0.005636352713572903,0.007471069874872893,0.0005577114519338357,0.9381304131171216,0.9387592141675627,0.9299082276886858,0.9445123089355828,0.005577114519338357,0.00033586289041726003,2.510246255599379e-05,0.014208101096213193,0.014204161006339323,0.013880535873185168,0.014543263950626792,0.0002510246255599379,0.0003635753719821236,2.524141587546798e-05,0.01424862181019373,0.014245557347161987,0.013906538153344954,0.014544175853871232,0.00025241415875467977,0.20741779428595714,0.013612754755157585,0.3471297011340718,0.34801691752235997,0.1881910714491285,0.4941190384871052,0.13612754755157586,0.9230449754329513,0.07283757507251118,21.65642785811178,21.62095995419923,20.816279792227057,22.6946251961222,0.7283757507251118,0.9230449754329513,0.07283757507251118,22.65642785811178,22.62095995419923,21.816279792227057,23.6946251961222,0.7283757507251117,0.9409735115402746,0.07288514691566554,22.71064468787868,22.69007580279285,21.870014471990217,23.772382629284728,0.7288514691566554,0.9409735115402746,0.07288514691566554,21.71064468787868,21.69007580279285,20.870014471990217,22.772382629284728,0.7288514691566554
ridge_sgd_l2,L2 one-vs-rest logistic,80,0.005594581794580167,0.0004626047678788515,0.9375183831781286,0.9381040560057314,0.9313386656953733,0.9432118753122893,0.004626047678788515,0.005107786708638318,0.00045499952154632743,0.9378357416505324,0.9384590336397565,0.9317165861745319,0.9433669363339547,0.004549995215463274,0.00036701266427229505,2.505414850750246e-05,0.014198001443239783,0.014162836814419866,0.013885137400852517,0.014517358309826506,0.0002505414850750246,0.0003929191710971419,2.5261636266821573e-05,0.014238317528230687,0.014232655954625788,0.013930677631506797,0.014562376133096567,0.0002526163626682157,0.14975104843625875,0.011406366876950206,0.34189503018515066,0.3402958351798875,0.20148465282048755,0.45661766555265865,0.11406366876950207,0.6645666100522796,0.05311077092598272,21.62954825091668,21.649580361092788,20.959987258350218,22.3568405823698,0.5311077092598272,0.6645666100522796,0.053110770925982695,22.62954825091668,22.649580361092788,21.959987258350218,23.356840582369795,0.531107709259827,0.6710895810450701,0.05322621924046907,22.68481441179462,22.696568976949585,21.98921680149899,23.38708685906645,0.5322621924046907,0.6710895810450701,0.05322621924046907,21.68481441179462,21.696568976949585,20.98921680149899,22.38708685906645,0.5322621924046907
ridge_sgd_l2,L2 one-vs-rest logistic,160,0.006594067597293862,0.000467928048247083,0.9373584341726701,0.9377004660625743,0.9312556083022625,0.9427478272267085,0.00467928048247083,0.006093260284586344,0.00045861115300537003,0.9376659637802365,0.937787271373411,0.9313503148889828,0.9430625191101222,0.0045861115300537,0.000356156277348689,2.511939441892604e-05,0.014188845357441648,0.014167084518937783,0.013854027673405078,0.014525001561875205,0.0002511939441892604,0.00034918698917975506,2.5300364934497624e-05,0.014229647511731834,0.01421759437501433,0.01390560879831438,0.014533535335207796,0.00025300364934497624,0.14419375954864655,0.010623258652692424,0.31659258717284156,0.30027864862211595,0.19261244864485585,0.448015345108305,0.10623258652692424,0.5588454607562952,0.04246686208353155,21.59380991487308,21.627396224587237,21.064954326322205,22.06870218020082,0.4246686208353155,0.5588454607562952,0.04246686208353155,22.59380991487308,22.627396224587237,22.064954326322205,23.06870218020082,0.42466862083531554,0.5438531356928031,0.04260359195313605,22.648846684907923,22.681773483931018,22.114111771566794,23.139064307960613,0.42603591953136055,0.5438531356928031,0.04260359195313605,21.648846684907923,21.681773483931018,21.114111771566794,22.139064307960613,0.42603591953136055
ridge_sgd_l2,L2 one-vs-rest logistic,240,0.00605586742443176,0.0004433727777256316,0.9370735045507159,0.937540082503598,0.9305347545980819,0.9417232036394256,0.004433727777256316,0.005805729308867691,0.00043630431545589225,0.937388544322925,0.937836587730057,0.9307224856056178,0.9424636656824218,0.0043630431545589226,0.0003629223667765205,2.4918702011704404e-05,0.014185952705045184,0.014183881942033665,0.0138603366070683,0.01450518301201232,0.00024918702011704404,0.0003663936544396791,2.5124349100781596e-05,0.014226722964271575,0.014214174745823807,0.013918463719476845,0.014540297683696673,0.00025124349100781596,0.10846817844986167,0.009056198582541149,0.3192165274893195,0.31680880767514885,0.21390609728315585,0.42270117674772706,0.09056198582541149,0.3921611433983827,0.032972040094405144,21.557506419473516,21.536661664693494,21.154289412753364,21.954790331705446,0.3297204009440515,0.3921611433983827,0.032972040094405144,22.557506419473516,22.536661664693494,22.154289412753364,22.954790331705446,0.3297204009440514,0.4222316211010835,0.03287673535127595,22.61244221948263,22.611458414774575,22.196823437729556,23.003576517917466,0.3287673535127595,0.4222316211010835,0.03287673535127595,21.61244221948263,21.611458414774575,21.196823437729556,22.003576517917466,0.3287673535127595
ridge_sgd_l2,L2 one-vs-rest logistic,360,0.005605913457159217,0.00043731658574516395,0.9369227943248777,0.9372279309844441,0.9310349341248293,0.9424910213343354,0.004373165857451639,0.005932432267827803,0.0004299321750011625,0.937220849668964,0.9376504546984943,0.9313927977968612,0.9424194713873444,0.004299321750011625,0.00035924412785890737,2.5010324991903712e-05,0.014184154456034454,0.014171264473564428,0.013828674381707332,0.014501606189776296,0.0002501032499190371,0.00036132016683520715,2.5216690846998413e-05,0.014224898578795588,0.014212441872473645,0.013905264910904673,0.014534069929148508,0.00025216690846998415,0.1134454152581773,0.008797879936562454,0.31561184221081495,0.31492479602181567,0.20210823362808872,0.41809852327414204,0.08797879936562454,0.38988572940533217,0.030249384316477407,21.53983723053233,21.51236119637377,21.145276265322288,21.881069360591002,0.30249384316477407,0.38988572940533217,0.030249384316477397,22.53983723053233,22.512361196373767,22.145276265322288,22.881069360591002,0.30249384316477396,0.402226814636947,0.0305476987509606,22.594451071720012,22.57252726351239,22.223862897136076,22.96457001867162,0.305476987509606,0.402226814636947,0.0305476987509606,21.594451071720012,21.57252726351239,21.223862897136076,21.96457001867162,0.305476987509606
lightgbm_multiclass,LightGBM,20,0.008045155095179224,0.0005577516721134788,0.9157627778172039,0.9158237670908402,0.9080620329189373,0.922740542717245,0.005577516721134788,0.007756293938964598,0.0005497499386399715,0.91569914211151,0.915591384831397,0.9084493265734488,0.9228841528434806,0.005497499386399715,0.0003554560642959701,2.7867853825714127e-05,0.014174400080238382,0.014179503571673878,0.013803986596531787,0.01449905169077106,0.00027867853825714125,0.00037037832314560336,2.840315805237437e-05,0.014217837126028292,0.014212829714602063,0.013838275497151331,0.014551664171730653,0.0002840315805237437,0.31777563940347453,0.026244347452145895,1.3902117070043485,1.4054612148570373,1.0618405935604942,1.7056709902630856,0.26244347452145894,0.8176961386102377,0.058245320596586526,16.079649307362512,15.997797305754059,15.396110696251096,16.82668647238411,0.5824532059658653,0.8176961386102377,0.05824532059658651,17.079649307362516,16.997797305754062,16.396110696251096,17.82668647238411,0.5824532059658651,0.8340335983476272,0.0580446678439613,17.057834396508646,16.994376203070008,16.389614461007483,17.774830732940792,0.580446678439613,0.834033598347629,0.0580446678439613,16.057834396508646,15.99437620307001,15.389614461007483,16.774830732940792,0.580446678439613
lightgbm_multiclass,LightGBM,40,0.007333871634718547,0.0004934037472089901,0.9154372563579095,0.9154779845531877,0.908593879617539,0.9213494869955137,0.0049340374720899015,0.0068059243827642835,0.0004921507741395946,0.9150231681879203,0.9149194192112025,0.9080698208639056,0.9213285138924888,0.004921507741395946,0.00039055686387613926,2.8411288952152603e-05,0.013986466762512811,0.013994324494635151,0.013598954590876905,0.014344970936321462,0.00028411288952152604,0.0003772104955443341,2.8777389577518424e-05,0.014036582267698737,0.01402440731794617,0.013657199704176668,0.014401292864285778,0.00028777389577518424,0.25977337110070153,0.0215225462070342,2.003984859770909,1.9985313315926891,1.7421376021965103,2.3207914386178317,0.215225462070342,0.47230643855280263,0.03275961210778191,15.043029427806095,15.013029385425394,14.628573384832396,15.474489507262538,0.3275961210778191,0.4723064385527973,0.0327596121077819,16.043029427806097,16.013029385425394,15.628573384832396,16.47448950726254,0.32759612107781905,0.4447411007464055,0.032464011190681735,16.018991076093013,15.993440648127923,15.61336840149824,16.458847620582233,0.32464011190681735,0.4447411007464055,0.03246401119068172,15.01899107609301,14.993440648127923,14.61336840149824,15.458847620582233,0.32464011190681724
lightgbm_multiclass,LightGBM,80,0.006539374560956879,0.0005706162514148842,0.9141918400188959,0.9134122673854759,0.9072897708343606,0.9216884295086967,0.005706162514148841,0.006426862188194882,0.0005661683106657416,0.9137287177987901,0.9132077946887753,0.9063188125051762,0.921235277123765,0.005661683106657416,0.0003717117801510274,2.8624520049164176e-05,0.013787474458756742,0.013796527565867103,0.013421188542490237,0.014160061177900977,0.00028624520049164176,0.0003872796404894487,2.8945822949385478e-05,0.013838711634908192,0.013838999627392979,0.01342396043630438,0.014173966829640833,0.0002894582294938548,0.2679358987061793,0.019169828730383226,2.274866885718537,2.255430401237766,2.0488151081561616,2.553166082255606,0.19169828730383226,0.43128887211351596,0.0333166694770169,14.306110075079564,14.267118387227734,13.922956241615836,14.72831020917616,0.33316669477016897,0.4312888721135142,0.0333166694770169,15.306110075079564,15.267118387227736,14.922956241615836,15.728310209176161,0.33316669477016897,0.43681897078654686,0.03329954168480175,15.28641888533497,15.243723958231884,14.919039844052973,15.6968940384467,0.33299541684801753,0.43681897078654686,0.033299541684801745,14.28641888533497,14.243723958231884,13.919039844052973,14.6968940384467,0.3329954168480174
lightgbm_multiclass,LightGBM,160,0.007640237513047987,0.0005155876959667524,0.9140214437010521,0.9141064309505792,0.9076594878639737,0.9203886398700847,0.0051558769596675245,0.0073967306838169655,0.0005119476209398557,0.9135344643191966,0.9134916350432905,0.9075544649598374,0.919766360861625,0.005119476209398558,0.0003867273827863789,2.807501097922369e-05,0.013556193544882085,0.013578530066150635,0.013164772187593984,0.013891905088123211,0.0002807501097922369,0.00039421590102983566,2.8375588778055812e-05,0.013607204957430372,0.013629635814560783,0.013220277148509804,0.01390321195877952,0.0002837558877805581,0.23835818297377442,0.0182118506026847,2.018506287369728,2.0118293480226095,1.7797576600614937,2.264491708157985,0.18211850602684698,0.43292831993522896,0.030755269860591232,13.886082650643388,13.864725613135306,13.516656148253539,14.308379038900304,0.30755269860591233,0.4329283199352272,0.03075526986059123,14.886082650643388,14.864725613135306,14.516656148253539,15.308379038900306,0.3075526986059123,0.4333849177113862,0.030770225310880778,14.865484550986505,14.851414713436933,14.496245826695413,15.288558691108962,0.3077022531088078,0.4333849177113862,0.030770225310880778,13.865484550986505,13.851414713436933,13.496245826695413,14.288558691108962,0.3077022531088078
