metric,n_train,model_a,model_b,contrast,fixed_mean_difference,fixed_lower,fixed_upper,tuned_mean_difference,tuned_lower,tuned_upper,estimand_type,fixed_eligible,tuned_eligible,fixed_conclusion,tuned_conclusion,conclusion_state_changed,conclusion_changed
crps,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.005435671134401e-05,-3.9671248616397834e-06,0.0001040758382843278,-0.00013771117668014306,-0.00018684705985717314,-8.857529350311298e-05,crps,True,True,inconclusive,supported,True,False
crps,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,-0.001950690300930445,-0.0025040758561340162,-0.0013973047457268737,-0.0016736872678049211,-0.0020115481121332126,-0.0013358264234766297,crps,True,True,supported,supported,False,False
crps,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.00033751260520607215,0.00021325194469110268,0.0004617732657210416,0.0002605909397176637,0.00018372930411806595,0.00033745257531726146,crps,True,True,opposite,opposite,False,False
crps,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-0.0020007446576417883,-0.0025570882915488726,-0.001444401023734704,-0.0015359760911247775,-0.0018657519956870655,-0.0012062001865624896,crps,True,True,supported,supported,False,False
crps,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.00028745824849472825,0.00016277504643887793,0.0004121414505505786,0.00039830211639780666,0.00033268435398368186,0.00046391987881193146,crps,True,True,opposite,opposite,False,False
crps,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.0022882029061365165,0.001715433530417474,0.002860972281855559,0.0019342782075225848,0.0016084928860820168,0.002260063528963153,crps,True,True,opposite,opposite,False,False
mean_width,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.64315280820063,5.305790632237745,5.980514984163515,2.7538902387959245,2.2944729468081695,3.2133075307836796,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.7686471302525486,-3.593553895989208,5.130848156494306,-0.39741562458455454,-2.2754059446798824,1.4805746955107735,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,4.503500019398608,3.658496748028346,5.348503290768869,0.4176198720365788,-0.685008386122039,1.5202481301951964,coverage_qualified_width,True,True,opposite,inconclusive,True,True
mean_width,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-4.874505677948083,-9.166141401275253,-0.5828699546209126,-3.1513058633804794,-4.96126250547523,-1.3413492212857288,coverage_qualified_width,True,True,supported,supported,False,False
mean_width,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-1.1396527888020231,-1.9080922448082698,-0.3712133327957765,-2.336270366759345,-3.314705273889949,-1.357835459628741,coverage_qualified_width,True,True,supported,supported,False,False
mean_width,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,3.7348528891460573,-0.3787104629435625,7.848416241235677,0.8150354966211331,-0.9733124522829386,2.6033834455252047,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.643152808200629,5.305790632237744,5.980514984163514,2.7538902387959245,2.2944729468081695,3.2133075307836796,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.7686471302525488,-3.593553895989208,5.130848156494306,-0.3974156245845546,-2.275405944679883,1.4805746955107735,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,4.503500019398608,3.658496748028346,5.348503290768869,0.4176198720365788,-0.685008386122039,1.5202481301951964,coverage_qualified_width,True,True,opposite,inconclusive,True,True
mean_width_inclusive,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-4.874505677948083,-9.166141401275253,-0.5828699546209126,-3.1513058633804794,-4.96126250547523,-1.3413492212857285,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-1.1396527888020234,-1.90809224480827,-0.37121333279577673,-2.336270366759345,-3.314705273889949,-1.357835459628741,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,3.7348528891460573,-0.3787104629435625,7.848416241235677,0.8150354966211333,-0.9733124522829384,2.603383445525205,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
crps_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.563525887800832e-05,2.229536396306985e-06,0.00010904098135970967,-0.00012917929565755992,-0.00017909568495179807,-7.926290636332177e-05,crps,True,True,opposite,supported,True,True
crps_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,-0.0019590718670443636,-0.002516004965691596,-0.001402138768397131,-0.0016734408996693284,-0.0020119692283748244,-0.0013349125709638324,crps,True,True,supported,supported,False,False
crps_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0003358015146264579,0.00021139894256646196,0.0004602040866864539,0.0002615700606299412,0.0001848004108095242,0.0003383397104503582,crps,True,True,opposite,opposite,False,False
crps_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-0.0020147071259223708,-0.0025748498242251666,-0.001454564427619575,-0.001544261604011768,-0.001876330287793628,-0.001212192920229908,crps,True,True,supported,supported,False,False
crps_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.0002801662557484496,0.00015503711589171467,0.00040529539560518453,0.00039074935628750115,0.00032574833807028563,0.00045575037450471667,crps,True,True,opposite,opposite,False,False
crps_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.0022948733816708206,0.0017185740710680792,0.0028711726922735622,0.0019350109602992698,0.0016074389416269427,0.002262582978971597,crps,True,True,opposite,opposite,False,False
mean_width_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.566503379666249,5.23486134187813,5.8981454174543675,2.702811910887167,2.2496994546773825,3.1559243670969517,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.6981132663102891,-3.658748819660899,5.0549753522814775,-0.4484111773711026,-2.3311767937646453,1.4343544390224399,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,4.448761984231938,3.6005824231207044,5.296941545343172,0.388399297616195,-0.7107871782811379,1.4875857735135278,coverage_qualified_width,True,True,opposite,inconclusive,True,True
mean_width_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-4.86839011335596,-9.156195005197446,-0.5805852215144744,-3.1512230882582686,-4.965072405351411,-1.3373737711651261,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-1.1177413954343085,-1.8875913098690722,-0.3478914809995449,-2.3144126132709717,-3.2906946022254573,-1.338130624316486,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,3.7506487179216492,-0.3595405127641733,7.860837948607472,0.8368104749872978,-0.9538049667698909,2.6274259167444862,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive_game_equal,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.566503379666245,5.234861341878126,5.898145417454364,2.702811910887166,2.2496994546773816,3.155924367096951,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width_inclusive_game_equal,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.6981132663102898,-3.6587488196608993,5.054975352281478,-0.44841117737110237,-2.3311767937646444,1.4343544390224396,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width_inclusive_game_equal,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,4.448761984231938,3.6005824231207044,5.296941545343172,0.38839929761619485,-0.710787178281138,1.4875857735135276,coverage_qualified_width,True,True,opposite,inconclusive,True,True
mean_width_inclusive_game_equal,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-4.868390113355957,-9.156195005197443,-0.5805852215144718,-3.1512230882582686,-4.965072405351411,-1.3373737711651261,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive_game_equal,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-1.117741395434308,-1.8875913098690718,-0.34789148099954426,-2.314412613270971,-3.2906946022254564,-1.3381306243164852,coverage_qualified_width,True,True,supported,supported,False,False
mean_width_inclusive_game_equal,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,3.7506487179216492,-0.3595405127641742,7.860837948607473,0.8368104749872975,-0.9538049667698907,2.627425916744486,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
crps,160,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,0.0006110635589969376,0.0005743481638579376,0.0006477789541359377,0.0002989445059681517,0.0002704161587835599,0.0003274728531527435,crps,True,True,opposite,opposite,False,False
crps,160,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,0.0007155175081122339,0.00045123194312006795,0.0009798030731043997,0.0005661773941414496,0.0004446192556018933,0.0006877355326810058,crps,True,True,opposite,opposite,False,False
crps,160,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0013407600840886183,0.0012649474791558797,0.001416572689021357,0.0011022287659867272,0.0010550170530889767,0.0011494404788844777,crps,True,True,opposite,opposite,False,False
crps,160,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,0.00010445394911529612,-0.00015997198232176014,0.0003688798805523524,0.00026723288817329804,0.00014602103855289946,0.00038844473779369663,crps,True,True,inconclusive,opposite,True,False
crps,160,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.0007296965250916805,0.0006523303571862506,0.0008070626929971103,0.0008032842600185758,0.0007566803789436793,0.0008498881410934723,crps,True,True,opposite,opposite,False,False
