metric,n_train,model_a,model_b,contrast,fixed_mean_difference,fixed_lower,fixed_upper,tuned_mean_difference,tuned_lower,tuned_upper,estimand_type,fixed_eligible,tuned_eligible,fixed_conclusion,tuned_conclusion,conclusion_state_changed,conclusion_changed
crps,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,3.7782828252054796e-05,-5.234389260616383e-05,0.00012790954911027342,-0.00013243194284897914,-0.0002238266404245984,-4.103724527335987e-05,crps,True,True,inconclusive,supported,True,False
crps,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,-0.002023167221471906,-0.0035256112358613796,-0.0005207232070824329,-0.0016978532565030398,-0.002085869266599581,-0.0013098372464064986,crps,True,True,supported,supported,False,False
crps,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,0.0003287686888489132,4.165704275063209e-05,0.0006158803349471943,0.000256461065768888,0.00012466783851226184,0.0003882542930255141,crps,True,True,opposite,opposite,False,False
crps,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-0.0020609500497239604,-0.0035733526487239705,-0.0005485474507239501,-0.0015654213136540602,-0.0019314561596371804,-0.00119938646767094,crps,True,True,supported,supported,False,False
crps,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,0.0002909858605968584,4.797252939607046e-06,0.0005771744682541097,0.0003888930086178671,0.0002863878936850287,0.0004913981235507056,crps,True,True,opposite,opposite,False,False
crps,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,0.002351935910320819,0.0008317023134187494,0.0038721695072228886,0.001954314322271928,0.0015934015375231683,0.0023152271070206874,crps,True,True,opposite,opposite,False,False
mean_width,20,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,5.472517143413605,4.597479208938692,6.347555077888519,2.605492907714459,1.7379817040713896,3.4730041113575285,coverage_qualified_width,True,True,opposite,opposite,False,False
mean_width,20,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,-1.2242951047388941,-13.590169476328988,11.141579266851199,-0.8827606670981091,-5.364215085024954,3.5986937508287355,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width,20,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,4.111684439165775,1.73192239433941,6.49144648399214,0.2164999233294294,-1.6700088691492476,2.1030087158081066,coverage_qualified_width,True,True,opposite,inconclusive,True,True
mean_width,20,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,-6.696812248152499,-18.830283437249275,5.436658940944277,-3.4882535748125685,-7.723030614728594,0.7465234651034569,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
mean_width,20,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,-1.3608327042478308,-3.6088036241984707,0.8871382157028094,-2.3889929843850295,-4.2253136411417875,-0.5526723276282712,coverage_qualified_width,True,True,inconclusive,supported,True,False
mean_width,20,zoo_cnn,set_transformer,zoo_cnn - set_transformer,5.335979543904668,-6.153478741796264,16.8254378296056,1.0992605904275383,-2.635765798396525,4.834286979251601,coverage_qualified_width,True,True,inconclusive,inconclusive,False,False
