metric,model,n_train,fixed_qualified,tuned_qualified,qualification_changed
coverage,ridge_sgd_l2,20,True,True,False
coverage,ridge_sgd_l2,160,True,True,False
coverage,ridge_sgd_l2,360,True,True,False
coverage,lightgbm_multiclass,20,True,True,False
coverage,lightgbm_multiclass,160,True,True,False
coverage,lightgbm_multiclass,360,True,True,False
coverage,zoo_cnn,20,True,True,False
coverage,zoo_cnn,160,True,True,False
coverage,zoo_cnn,360,True,True,False
coverage,set_transformer,20,True,True,False
coverage,set_transformer,160,True,True,False
coverage,set_transformer,360,True,True,False
coverage_game_equal,ridge_sgd_l2,20,True,True,False
coverage_game_equal,ridge_sgd_l2,160,True,True,False
coverage_game_equal,ridge_sgd_l2,360,True,True,False
coverage_game_equal,lightgbm_multiclass,20,True,True,False
coverage_game_equal,lightgbm_multiclass,160,True,True,False
coverage_game_equal,lightgbm_multiclass,360,True,True,False
coverage_game_equal,zoo_cnn,20,True,True,False
coverage_game_equal,zoo_cnn,160,True,True,False
coverage_game_equal,zoo_cnn,360,True,True,False
coverage_game_equal,set_transformer,20,True,True,False
coverage_game_equal,set_transformer,160,True,True,False
coverage_game_equal,set_transformer,360,True,True,False
