metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.014204557399384438,0.014204557399384438,0.0,False
coverage,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.916745107958653,0.916745107958653,0.0,False
mean_width,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,15.933135030459686,15.933135030459686,0.0,False
mean_width_inclusive,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,16.933135030459688,16.933135030459688,0.0,False
mean_q,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,1.4048899904168162,1.4048899904168162,0.0,False
crps_game_equal,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.014153235168836723,0.014153235168836723,0.0,False
coverage_game_equal,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.9169444929126069,0.9169444929126069,0.0,False
mean_width_game_equal,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,15.952985755830605,15.952985755830605,0.0,False
mean_width_inclusive_game_equal,lightgbm_multiclass,20,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,16.952985755830603,16.952985755830603,0.0,False
crps,ridge_sgd_l2,20,tuned - fixed,20,-0.00017021477110103393,9.088777283304349e-05,2.032312383782439e-05,-0.00021275155815431835,-0.0001276779840477495,-0.00033633036919206844,-4.099173009999423e-06,0.95,8.173723656688466,10000,0.014242340227636494,0.014072125456535458,-0.01195132038558813,True
coverage,ridge_sgd_l2,20,tuned - fixed,20,-0.010275876383291277,0.004688036053362522,0.0010482767296288431,-0.012469944794080872,-0.008081807972501681,-0.01884420068701457,-0.0017075520795679835,0.95,8.173723656688466,10000,0.9370045147136921,0.9267286383304008,-0.010966730919574213,True
mean_width,ridge_sgd_l2,20,tuned - fixed,20,-2.8670242356991467,0.5585180353948908,0.12488842938026093,-3.1284187225093003,-2.605629748888993,-3.8878277453712524,-1.8462207260270411,0.95,8.173723656688466,10000,21.405652173873293,18.538627938174145,-0.13393771945890526,True
mean_width_inclusive,ridge_sgd_l2,20,tuned - fixed,20,-2.8670242356991467,0.5585180353948908,0.12488842938026093,-3.1284187225093003,-2.605629748888993,-3.8878277453712524,-1.8462207260270411,0.95,8.173723656688466,10000,22.405652173873293,19.538627938174145,-0.12795986537014606,True
mean_q,ridge_sgd_l2,20,tuned - fixed,20,0.05206991160936449,0.15335482224265476,0.03429118072119728,-0.019702354494162307,0.1238421777128913,-0.22821672346726515,0.3323565466859941,0.95,8.173723656688466,10000,0.3954524075334969,0.4475223191428614,0.13167175269998552,False
